status,price,bed,bath,acre_lot,state,zip_code,house_size,sold_date,time_interval
for_sale,399800.0,4.0,3.0,0.15,New Jersey,8109.0,2450.0,2020-01-08,0.0
for_sale,238500.0,3.0,2.0,1.0,New York,12972.0,2485.0,2020-01-08,0.0
for_sale,399800.0,4.0,3.0,0.15,New Jersey,8109.0,2450.0,2020-01-08,0.0
for_sale,238500.0,3.0,2.0,1.0,New York,12972.0,2485.0,2020-01-08,0.0
for_sale,238500.0,3.0,2.0,1.0,New York,12972.0,2485.0,2020-01-08,0.0
for_sale,238500.0,3.0,2.0,1.0,New York,12972.0,2485.0,2020-01-08,0.0
for_sale,465000.0,3.0,3.0,0.28,New Jersey,8854.0,1464.0,2020-01-09,0.0
for_sale,79900.0,3.0,1.0,0.02,Pennsylvania,19120.0,1120.0,2020-01-09,0.0
for_sale,465000.0,3.0,3.0,0.28,New Jersey,8854.0,1464.0,2020-01-09,0.0
for_sale,465000.0,3.0,3.0,0.28,New Jersey,8854.0,1464.0,2020-01-09,0.0
for_sale,79900.0,3.0,1.0,0.02,Pennsylvania,19120.0,1120.0,2020-01-09,0.0
for_sale,139000.0,3.0,2.0,0.02,Pennsylvania,19139.0,942.0,2020-01-09,0.0
for_sale,1149000.0,5.0,4.0,0.12,New York,11580.0,2340.0,2020-01-09,0.0
for_sale,465000.0,3.0,3.0,0.28,New Jersey,8854.0,1464.0,2020-01-09,0.0
for_sale,465000.0,3.0,3.0,0.28,New Jersey,8854.0,1464.0,2020-01-09,0.0
for_sale,129900.0,3.0,1.0,0.03,Pennsylvania,19140.0,1350.0,2020-01-09,0.0
for_sale,465000.0,3.0,3.0,0.28,New Jersey,8854.0,1464.0,2020-01-09,0.0
for_sale,129900.0,3.0,1.0,0.03,Pennsylvania,19140.0,1350.0,2020-01-09,0.0
for_sale,139000.0,3.0,2.0,0.02,Pennsylvania,19139.0,942.0,2020-01-09,0.0
for_sale,465000.0,3.0,3.0,0.28,New Jersey,8854.0,1464.0,2020-01-09,0.0
for_sale,79900.0,3.0,1.0,0.02,Pennsylvania,19120.0,1120.0,2020-01-09,0.0
for_sale,510000.0,5.0,3.0,0.35,New York,11727.0,2300.0,2020-01-09,0.0
for_sale,830000.0,4.0,4.0,1.0,New Jersey,8502.0,2560.0,2020-01-09,0.0
for_sale,465000.0,3.0,3.0,0.28,New Jersey,8854.0,1464.0,2020-01-09,0.0
for_sale,365000.0,3.0,2.0,0.21,New Jersey,8077.0,2182.0,2020-01-09,0.0
for_sale,129900.0,3.0,1.0,0.03,Pennsylvania,19140.0,1350.0,2020-01-09,0.0
for_sale,365000.0,3.0,2.0,0.21,New Jersey,8077.0,2182.0,2020-01-09,0.0
for_sale,830000.0,4.0,4.0,1.0,New Jersey,8502.0,2560.0,2020-01-09,0.0
for_sale,279900.0,2.0,1.0,1.4,Connecticut,6385.0,960.0,2020-01-10,0.0
for_sale,1369000.0,4.0,4.0,0.02,Pennsylvania,19146.0,3300.0,2020-01-10,0.0
for_sale,279900.0,2.0,1.0,1.4,Connecticut,6385.0,960.0,2020-01-10,0.0
for_sale,1369000.0,4.0,4.0,0.02,Pennsylvania,19146.0,3300.0,2020-01-10,0.0
for_sale,549000.0,3.0,2.0,0.25,New York,12534.0,1890.0,2020-01-10,0.0
for_sale,736000.0,4.0,3.0,1.04,New Jersey,8205.0,3711.0,2020-01-10,0.0
for_sale,736000.0,4.0,3.0,1.04,New Jersey,8205.0,3711.0,2020-01-10,0.0
for_sale,244900.0,3.0,2.0,0.11,Delaware,19805.0,1450.0,2020-01-10,0.0
for_sale,549000.0,3.0,2.0,0.25,New York,12534.0,1890.0,2020-01-10,0.0
for_sale,749999.0,4.0,4.0,0.08,New Jersey,7202.0,2880.0,2020-01-10,0.0
for_sale,99999.0,3.0,1.0,0.03,Pennsylvania,19142.0,960.0,2020-01-10,0.0
for_sale,736000.0,4.0,3.0,1.04,New Jersey,8205.0,3711.0,2020-01-10,0.0
for_sale,279900.0,2.0,1.0,1.4,Connecticut,6385.0,960.0,2020-01-10,0.0
for_sale,749999.0,4.0,4.0,0.08,New Jersey,7202.0,2880.0,2020-01-10,0.0
for_sale,736000.0,4.0,3.0,1.04,New Jersey,8205.0,3711.0,2020-01-10,0.0
for_sale,549000.0,3.0,2.0,0.25,New York,12534.0,1890.0,2020-01-10,0.0
for_sale,279900.0,2.0,1.0,1.4,Connecticut,6385.0,960.0,2020-01-10,0.0
for_sale,749999.0,4.0,4.0,0.08,New Jersey,7202.0,2880.0,2020-01-10,0.0
for_sale,279900.0,2.0,1.0,1.4,Connecticut,6385.0,960.0,2020-01-10,0.0
for_sale,279900.0,2.0,1.0,1.4,Connecticut,6385.0,960.0,2020-01-10,0.0
for_sale,279900.0,2.0,1.0,1.4,Connecticut,6385.0,960.0,2020-01-10,0.0
for_sale,749999.0,4.0,4.0,0.08,New Jersey,7202.0,2880.0,2020-01-10,0.0
for_sale,749999.0,4.0,4.0,0.08,New Jersey,7202.0,2880.0,2020-01-10,0.0
for_sale,736000.0,4.0,3.0,1.04,New Jersey,8205.0,3711.0,2020-01-10,0.0
for_sale,279900.0,2.0,1.0,1.4,Connecticut,6385.0,960.0,2020-01-10,0.0
for_sale,749999.0,4.0,4.0,0.08,New Jersey,7202.0,2880.0,2020-01-10,0.0
for_sale,415000.0,4.0,3.0,1.91,Connecticut,6354.0,2888.0,2020-01-13,0.0
for_sale,424900.0,3.0,2.0,0.23,New Jersey,8055.0,1964.0,2020-01-13,0.0
for_sale,415000.0,4.0,3.0,1.91,Connecticut,6354.0,2888.0,2020-01-13,0.0
for_sale,415000.0,4.0,3.0,1.91,Connecticut,6354.0,2888.0,2020-01-13,0.0
for_sale,519000.0,4.0,3.0,0.54,New York,12518.0,2612.0,2020-01-13,0.0
for_sale,450000.0,4.0,3.0,1.62,Connecticut,6019.0,2893.0,2020-01-13,0.0
for_sale,450000.0,4.0,3.0,1.62,Connecticut,6019.0,2893.0,2020-01-13,0.0
for_sale,450000.0,4.0,3.0,1.62,Connecticut,6019.0,2893.0,2020-01-13,0.0
for_sale,415000.0,4.0,3.0,1.91,Connecticut,6354.0,2888.0,2020-01-13,0.0
for_sale,415000.0,4.0,3.0,1.91,Connecticut,6354.0,2888.0,2020-01-13,0.0
for_sale,450000.0,4.0,3.0,1.62,Connecticut,6019.0,2893.0,2020-01-13,0.0
for_sale,415000.0,4.0,3.0,1.91,Connecticut,6354.0,2888.0,2020-01-13,0.0
for_sale,415000.0,4.0,3.0,1.91,Connecticut,6354.0,2888.0,2020-01-13,0.0
for_sale,415000.0,4.0,3.0,1.91,Connecticut,6354.0,2888.0,2020-01-13,0.0
for_sale,450000.0,4.0,3.0,1.62,Connecticut,6019.0,2893.0,2020-01-13,0.0
for_sale,450000.0,4.0,3.0,1.62,Connecticut,6019.0,2893.0,2020-01-13,0.0
for_sale,450000.0,4.0,3.0,1.62,Connecticut,6019.0,2893.0,2020-01-13,0.0
for_sale,415000.0,4.0,3.0,1.91,Connecticut,6354.0,2888.0,2020-01-13,0.0
for_sale,415000.0,4.0,3.0,1.91,Connecticut,6354.0,2888.0,2020-01-13,0.0
for_sale,415000.0,4.0,3.0,1.91,Connecticut,6354.0,2888.0,2020-01-13,0.0
for_sale,415000.0,4.0,3.0,1.91,Connecticut,6354.0,2888.0,2020-01-13,0.0
for_sale,450000.0,4.0,3.0,1.62,Connecticut,6019.0,2893.0,2020-01-13,0.0
for_sale,450000.0,4.0,3.0,1.62,Connecticut,6019.0,2893.0,2020-01-13,0.0
for_sale,450000.0,4.0,3.0,1.62,Connecticut,6019.0,2893.0,2020-01-13,0.0
for_sale,415000.0,4.0,3.0,1.91,Connecticut,6354.0,2888.0,2020-01-13,0.0
for_sale,519000.0,4.0,3.0,0.54,New York,12518.0,2612.0,2020-01-13,0.0
for_sale,424900.0,3.0,2.0,0.23,New Jersey,8055.0,1964.0,2020-01-13,0.0
for_sale,450000.0,4.0,3.0,1.62,Connecticut,6019.0,2893.0,2020-01-13,0.0
for_sale,424900.0,3.0,2.0,0.23,New Jersey,8055.0,1964.0,2020-01-13,0.0
for_sale,450000.0,4.0,3.0,1.62,Connecticut,6019.0,2893.0,2020-01-13,0.0
for_sale,450000.0,4.0,3.0,1.62,Connecticut,6019.0,2893.0,2020-01-13,0.0
for_sale,450000.0,4.0,3.0,1.62,Connecticut,6019.0,2893.0,2020-01-13,0.0
for_sale,450000.0,4.0,3.0,1.62,Connecticut,6019.0,2893.0,2020-01-13,0.0
for_sale,424900.0,3.0,2.0,0.23,New Jersey,8055.0,1964.0,2020-01-13,0.0
for_sale,424900.0,3.0,2.0,0.23,New Jersey,8055.0,1964.0,2020-01-13,0.0
for_sale,450000.0,4.0,3.0,1.62,Connecticut,6019.0,2893.0,2020-01-13,0.0
for_sale,450000.0,4.0,3.0,1.62,Connecticut,6019.0,2893.0,2020-01-13,0.0
for_sale,415000.0,4.0,3.0,1.91,Connecticut,6354.0,2888.0,2020-01-13,0.0
for_sale,415000.0,4.0,3.0,1.91,Connecticut,6354.0,2888.0,2020-01-13,0.0
for_sale,250000.0,3.0,2.0,0.18,Connecticut,6517.0,1041.0,2020-01-14,0.0
for_sale,465000.0,4.0,2.0,0.17,New Jersey,7734.0,1845.0,2020-01-14,0.0
for_sale,325000.0,12.0,2.0,0.09,Connecticut,6610.0,2226.0,2020-01-14,0.0
for_sale,250000.0,3.0,2.0,0.18,Connecticut,6517.0,1041.0,2020-01-14,0.0
for_sale,289900.0,3.0,2.0,0.03,Pennsylvania,19134.0,1332.0,2020-01-14,0.0
for_sale,325000.0,4.0,3.0,0.33,New Jersey,8052.0,2047.0,2020-01-14,0.0
for_sale,465000.0,4.0,2.0,0.17,New Jersey,7734.0,1845.0,2020-01-14,0.0
for_sale,465000.0,4.0,2.0,0.17,New Jersey,7734.0,1845.0,2020-01-14,0.0
for_sale,325000.0,12.0,2.0,0.09,Connecticut,6610.0,2226.0,2020-01-14,0.0
for_sale,465000.0,4.0,2.0,0.17,New Jersey,7734.0,1845.0,2020-01-14,0.0
for_sale,325000.0,12.0,2.0,0.09,Connecticut,6610.0,2226.0,2020-01-14,0.0
for_sale,465000.0,4.0,2.0,0.17,New Jersey,7734.0,1845.0,2020-01-14,0.0
for_sale,325000.0,4.0,3.0,0.33,New Jersey,8052.0,2047.0,2020-01-14,0.0
for_sale,250000.0,3.0,2.0,0.18,Connecticut,6517.0,1041.0,2020-01-14,0.0
for_sale,625000.0,4.0,4.0,0.49,Pennsylvania,19311.0,4532.0,2020-01-14,0.0
for_sale,250000.0,3.0,2.0,0.18,Connecticut,6517.0,1041.0,2020-01-14,0.0
for_sale,289900.0,3.0,2.0,0.03,Pennsylvania,19134.0,1332.0,2020-01-14,0.0
for_sale,250000.0,3.0,2.0,0.18,Connecticut,6517.0,1041.0,2020-01-14,0.0
for_sale,469900.0,5.0,3.0,0.19,Connecticut,6702.0,3642.0,2020-01-15,0.0
for_sale,1169000.0,3.0,3.0,4.0,Maine,4605.0,3516.0,2020-01-15,0.0
for_sale,1169000.0,3.0,3.0,4.0,Maine,4605.0,3516.0,2020-01-15,0.0
for_sale,1169000.0,3.0,3.0,4.0,Maine,4605.0,3516.0,2020-01-15,0.0
for_sale,1169000.0,3.0,3.0,4.0,Maine,4605.0,3516.0,2020-01-15,0.0
for_sale,1169000.0,3.0,3.0,4.0,Maine,4605.0,3516.0,2020-01-15,0.0
for_sale,499000.0,3.0,2.0,1.51,Connecticut,6877.0,1170.0,2020-01-15,0.0
for_sale,469900.0,5.0,3.0,0.19,Connecticut,6702.0,3642.0,2020-01-15,0.0
for_sale,1169000.0,3.0,3.0,4.0,Maine,4605.0,3516.0,2020-01-15,0.0
for_sale,1300000.0,2.0,2.0,0.16,New Jersey,8724.0,1477.0,2020-01-15,0.0
for_sale,1169000.0,3.0,3.0,4.0,Maine,4605.0,3516.0,2020-01-15,0.0
for_sale,469900.0,5.0,3.0,0.19,Connecticut,6702.0,3642.0,2020-01-15,0.0
for_sale,1300000.0,2.0,2.0,0.16,New Jersey,8724.0,1477.0,2020-01-15,0.0
for_sale,469900.0,5.0,3.0,0.19,Connecticut,6702.0,3642.0,2020-01-15,0.0
for_sale,469900.0,5.0,3.0,0.19,Connecticut,6702.0,3642.0,2020-01-15,0.0
for_sale,399900.0,4.0,3.0,0.41,New Jersey,8043.0,2150.0,2020-01-15,0.0
for_sale,499000.0,3.0,2.0,1.51,Connecticut,6877.0,1170.0,2020-01-15,0.0
for_sale,499000.0,3.0,2.0,1.51,Connecticut,6877.0,1170.0,2020-01-15,0.0
for_sale,1169000.0,3.0,3.0,4.0,Maine,4605.0,3516.0,2020-01-15,0.0
for_sale,469900.0,5.0,3.0,0.19,Connecticut,6702.0,3642.0,2020-01-15,0.0
for_sale,499000.0,3.0,2.0,1.51,Connecticut,6877.0,1170.0,2020-01-15,0.0
for_sale,399900.0,4.0,3.0,0.41,New Jersey,8043.0,2150.0,2020-01-15,0.0
for_sale,499000.0,3.0,2.0,1.51,Connecticut,6877.0,1170.0,2020-01-15,0.0
for_sale,1300000.0,2.0,2.0,0.16,New Jersey,8724.0,1477.0,2020-01-15,0.0
for_sale,1169000.0,3.0,3.0,4.0,Maine,4605.0,3516.0,2020-01-15,0.0
for_sale,469900.0,5.0,3.0,0.19,Connecticut,6702.0,3642.0,2020-01-15,0.0
for_sale,1300000.0,2.0,2.0,0.16,New Jersey,8724.0,1477.0,2020-01-15,0.0
