,status,price,bed,bath,acre_lot,state,zip_code,house_size,sold_date
123,for_sale,190000.0,3.0,2.0,0.73,Connecticut,6360.0,1158.0,2020-01-07
124,for_sale,190000.0,3.0,2.0,0.73,Connecticut,6360.0,1158.0,2020-01-07
125,for_sale,389900.0,4.0,3.0,0.02,Pennsylvania,19133.0,2300.0,2020-01-07
126,for_sale,190000.0,3.0,2.0,0.73,Connecticut,6360.0,1158.0,2020-01-07
127,for_sale,190000.0,3.0,2.0,0.73,Connecticut,6360.0,1158.0,2020-01-07
128,for_sale,190000.0,3.0,2.0,0.73,Connecticut,6360.0,1158.0,2020-01-07
129,for_sale,190000.0,3.0,2.0,0.73,Connecticut,6360.0,1158.0,2020-01-07
130,for_sale,190000.0,3.0,2.0,0.73,Connecticut,6360.0,1158.0,2020-01-07
131,for_sale,335000.0,3.0,1.0,0.11,New Jersey,8884.0,1164.0,2020-01-07
132,for_sale,335000.0,3.0,1.0,0.11,New Jersey,8884.0,1164.0,2020-01-07
133,for_sale,335000.0,3.0,1.0,0.11,New Jersey,8884.0,1164.0,2020-01-07
134,for_sale,190000.0,3.0,2.0,0.73,Connecticut,6360.0,1158.0,2020-01-07
135,for_sale,335000.0,3.0,1.0,0.11,New Jersey,8884.0,1164.0,2020-01-07
136,for_sale,335000.0,3.0,1.0,0.11,New Jersey,8884.0,1164.0,2020-01-07
137,for_sale,449900.0,4.0,2.0,0.06,Pennsylvania,19142.0,1500.0,2020-01-07
138,for_sale,190000.0,3.0,2.0,0.73,Connecticut,6360.0,1158.0,2020-01-07
139,for_sale,389900.0,4.0,3.0,0.02,Pennsylvania,19133.0,2300.0,2020-01-07
140,for_sale,335000.0,3.0,1.0,0.11,New Jersey,8884.0,1164.0,2020-01-07
141,for_sale,190000.0,3.0,2.0,0.73,Connecticut,6360.0,1158.0,2020-01-07
142,for_sale,190000.0,3.0,2.0,0.73,Connecticut,6360.0,1158.0,2020-01-07
143,for_sale,238500.0,3.0,2.0,1.0,New York,12972.0,2485.0,2020-01-08
144,for_sale,399800.0,4.0,3.0,0.15,New Jersey,8109.0,2450.0,2020-01-08
145,for_sale,399800.0,4.0,3.0,0.15,New Jersey,8109.0,2450.0,2020-01-08
146,for_sale,238500.0,3.0,2.0,1.0,New York,12972.0,2485.0,2020-01-08
147,for_sale,399800.0,4.0,3.0,0.15,New Jersey,8109.0,2450.0,2020-01-08
148,for_sale,238500.0,3.0,2.0,1.0,New York,12972.0,2485.0,2020-01-08
149,for_sale,238500.0,3.0,2.0,1.0,New York,12972.0,2485.0,2020-01-08
150,for_sale,238500.0,3.0,2.0,1.0,New York,12972.0,2485.0,2020-01-08
151,for_sale,465000.0,3.0,3.0,0.28,New Jersey,8854.0,1464.0,2020-01-09
152,for_sale,79900.0,3.0,1.0,0.02,Pennsylvania,19120.0,1120.0,2020-01-09
153,for_sale,465000.0,3.0,3.0,0.28,New Jersey,8854.0,1464.0,2020-01-09
154,for_sale,465000.0,3.0,3.0,0.28,New Jersey,8854.0,1464.0,2020-01-09
155,for_sale,79900.0,3.0,1.0,0.02,Pennsylvania,19120.0,1120.0,2020-01-09
156,for_sale,139000.0,3.0,2.0,0.02,Pennsylvania,19139.0,942.0,2020-01-09
157,for_sale,1149000.0,5.0,4.0,0.12,New York,11580.0,2340.0,2020-01-09
158,for_sale,465000.0,3.0,3.0,0.28,New Jersey,8854.0,1464.0,2020-01-09
159,for_sale,465000.0,3.0,3.0,0.28,New Jersey,8854.0,1464.0,2020-01-09
160,for_sale,129900.0,3.0,1.0,0.03,Pennsylvania,19140.0,1350.0,2020-01-09
161,for_sale,465000.0,3.0,3.0,0.28,New Jersey,8854.0,1464.0,2020-01-09
162,for_sale,129900.0,3.0,1.0,0.03,Pennsylvania,19140.0,1350.0,2020-01-09
163,for_sale,139000.0,3.0,2.0,0.02,Pennsylvania,19139.0,942.0,2020-01-09
164,for_sale,465000.0,3.0,3.0,0.28,New Jersey,8854.0,1464.0,2020-01-09
165,for_sale,79900.0,3.0,1.0,0.02,Pennsylvania,19120.0,1120.0,2020-01-09
166,for_sale,510000.0,5.0,3.0,0.35,New York,11727.0,2300.0,2020-01-09
167,for_sale,830000.0,4.0,4.0,1.0,New Jersey,8502.0,2560.0,2020-01-09
168,for_sale,465000.0,3.0,3.0,0.28,New Jersey,8854.0,1464.0,2020-01-09
169,for_sale,365000.0,3.0,2.0,0.21,New Jersey,8077.0,2182.0,2020-01-09
170,for_sale,129900.0,3.0,1.0,0.03,Pennsylvania,19140.0,1350.0,2020-01-09
171,for_sale,365000.0,3.0,2.0,0.21,New Jersey,8077.0,2182.0,2020-01-09
172,for_sale,830000.0,4.0,4.0,1.0,New Jersey,8502.0,2560.0,2020-01-09
173,for_sale,279900.0,2.0,1.0,1.4,Connecticut,6385.0,960.0,2020-01-10
174,for_sale,1369000.0,4.0,4.0,0.02,Pennsylvania,19146.0,3300.0,2020-01-10
175,for_sale,279900.0,2.0,1.0,1.4,Connecticut,6385.0,960.0,2020-01-10
176,for_sale,1369000.0,4.0,4.0,0.02,Pennsylvania,19146.0,3300.0,2020-01-10
177,for_sale,549000.0,3.0,2.0,0.25,New York,12534.0,1890.0,2020-01-10
178,for_sale,736000.0,4.0,3.0,1.04,New Jersey,8205.0,3711.0,2020-01-10
179,for_sale,736000.0,4.0,3.0,1.04,New Jersey,8205.0,3711.0,2020-01-10
180,for_sale,244900.0,3.0,2.0,0.11,Delaware,19805.0,1450.0,2020-01-10
181,for_sale,549000.0,3.0,2.0,0.25,New York,12534.0,1890.0,2020-01-10
182,for_sale,749999.0,4.0,4.0,0.08,New Jersey,7202.0,2880.0,2020-01-10
183,for_sale,99999.0,3.0,1.0,0.03,Pennsylvania,19142.0,960.0,2020-01-10
184,for_sale,736000.0,4.0,3.0,1.04,New Jersey,8205.0,3711.0,2020-01-10
185,for_sale,279900.0,2.0,1.0,1.4,Connecticut,6385.0,960.0,2020-01-10
186,for_sale,749999.0,4.0,4.0,0.08,New Jersey,7202.0,2880.0,2020-01-10
187,for_sale,736000.0,4.0,3.0,1.04,New Jersey,8205.0,3711.0,2020-01-10
188,for_sale,549000.0,3.0,2.0,0.25,New York,12534.0,1890.0,2020-01-10
189,for_sale,279900.0,2.0,1.0,1.4,Connecticut,6385.0,960.0,2020-01-10
190,for_sale,749999.0,4.0,4.0,0.08,New Jersey,7202.0,2880.0,2020-01-10
191,for_sale,279900.0,2.0,1.0,1.4,Connecticut,6385.0,960.0,2020-01-10
192,for_sale,279900.0,2.0,1.0,1.4,Connecticut,6385.0,960.0,2020-01-10
193,for_sale,279900.0,2.0,1.0,1.4,Connecticut,6385.0,960.0,2020-01-10
194,for_sale,749999.0,4.0,4.0,0.08,New Jersey,7202.0,2880.0,2020-01-10
195,for_sale,749999.0,4.0,4.0,0.08,New Jersey,7202.0,2880.0,2020-01-10
196,for_sale,736000.0,4.0,3.0,1.04,New Jersey,8205.0,3711.0,2020-01-10
197,for_sale,279900.0,2.0,1.0,1.4,Connecticut,6385.0,960.0,2020-01-10
198,for_sale,749999.0,4.0,4.0,0.08,New Jersey,7202.0,2880.0,2020-01-10
199,for_sale,415000.0,4.0,3.0,1.91,Connecticut,6354.0,2888.0,2020-01-13
200,for_sale,424900.0,3.0,2.0,0.23,New Jersey,8055.0,1964.0,2020-01-13
201,for_sale,415000.0,4.0,3.0,1.91,Connecticut,6354.0,2888.0,2020-01-13
202,for_sale,415000.0,4.0,3.0,1.91,Connecticut,6354.0,2888.0,2020-01-13
203,for_sale,519000.0,4.0,3.0,0.54,New York,12518.0,2612.0,2020-01-13
204,for_sale,450000.0,4.0,3.0,1.62,Connecticut,6019.0,2893.0,2020-01-13
